"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 03","1,185.85","1,133.95","1,198.50","1,089.30","1.77B","4.56%"
"Jun 03","1,134.15","1,006.85","1,141.30","1,004.70","1.47B","12.65%"
"May 03","1,006.80","930.90","1,013.85","930.80","1.28B","7.79%"
"Apr 03","934.05","977.40","1,033.45","920.00","1.21B","-4.51%"
"Mar 03","978.20","1,063.55","1,070.85","974.10","894.12M","-8.01%"
"Feb 03","1,063.40","1,040.25","1,075.50","1,034.10","977.16M","2.07%"
"Jan 03","1,041.85","1,093.60","1,105.60","1,026.20","1.27B","-4.72%"
"Dec 02","1,093.50","1,050.15","1,103.95","1,034.10","1.34B","4.13%"
"Nov 02","1,050.15","951.45","1,057.45","946.40","1.18B","10.38%"
"Oct 02","951.40","961.15","983.60","920.10","1.04B","-1.22%"
"Sep 02","963.15","1,010.90","1,024.65","960.20","858.72M","-4.70%"
"Aug 02","1,010.60","959.20","1,012.75","935.55","945.39M","5.39%"
"Jul 02","958.90","1,058.00","1,087.40","943.60","988.64M","-9.35%"
"Jun 02","1,057.80","1,029.25","1,102.05","1,029.25","830.00M","2.82%"
"May 02","1,028.80","1,084.80","1,136.55","1,020.10","1.01B","-5.14%"
"Apr 02","1,084.50","1,129.85","1,153.30","1,073.30","874.09M","-3.99%"
"Mar 02","1,129.55","1,142.05","1,201.10","1,117.85","929.78M","-1.09%"
"Feb 02","1,142.05","1,076.95","1,205.95","1,069.40","1.29B","6.20%"
"Jan 02","1,075.40","1,058.85","1,121.75","1,052.05","1.42B","1.54%"
"Dec 01","1,059.05","1,067.20","1,132.65","1,010.45","1.06B","-0.76%"
"Nov 01","1,067.15","973.55","1,097.60","973.55","1.08B","9.80%"
"Oct 01","971.90","914.65","1,000.95","884.65","982.27M","6.35%"
"Sep 01","913.85","1,054.65","1,059.90","849.95","946.78M","-13.28%"
"Aug 01","1,053.75","1,073.00","1,084.00","1,051.75","755.98M","-1.78%"
"Jul 01","1,072.85","1,108.35","1,127.15","1,046.90","576.87M","-3.16%"
"Jun 01","1,107.90","1,168.10","1,175.80","1,060.05","843.59M","-5.14%"
"May 01","1,167.90","1,125.45","1,207.00","1,096.25","986.61M","3.79%"
"Apr 01","1,125.25","1,148.10","1,171.85","1,000.10","853.34M","-2.00%"
"Mar 01","1,148.20","1,351.75","1,399.55","1,098.75","1.18B","-15.04%"
"Feb 01","1,351.40","1,371.50","1,422.95","1,281.90","2.11B","-1.48%"
"Jan 01","1,371.70","1,263.50","1,396.05","1,248.55","1.99B","8.56%"
"Dec 00","1,263.55","1,268.10","1,369.50","1,207.95","1.59B","-0.36%"
"Nov 00","1,268.15","1,178.25","1,281.00","1,177.10","1.45B","8.13%"
"Oct 00","1,172.75","1,270.75","1,306.45","1,108.20","1.04B","-7.78%"
"Sep 00","1,271.65","1,395.95","1,482.00","1,249.35","980.56M","-8.78%"
"Aug 00","1,394.10","1,332.85","1,398.90","1,295.45","942.05M","4.60%"
"Jul 00","1,332.85","1,473.45","1,564.75","1,269.25","894.30M","-9.42%"
"Jun 00","1,471.45","1,380.40","1,539.10","1,345.10","826.11M","6.59%"
"May 00","1,380.45","1,410.00","1,436.60","1,201.50","642.45M","-1.86%"
"Apr 00","1,406.55","1,528.70","1,636.95","1,311.30","751.69M","-7.98%"
"Mar 00","1,528.45","1,661.50","1,773.85","1,489.10","655.71M","-7.64%"
"Feb 00","1,654.80","1,546.20","1,818.15","1,521.40","690.44M","7.02%"
"Jan 00","1,546.20","1,482.15","1,671.15","1,482.15","850.41M","4.44%"
